kata,Single Family,Multi Family,Mixed Use,Commercial,Industrial,Vacant Land
STY,459255.0,37285.0,14396.0,7338.0,4.0,0.0
MASONRY,406210.0,5209.0,6867.0,9622.0,3967.0,0.0
ROW,332571.0,16174.0,7051.0,0.0,0.0,0.0
GAR,177098.0,0.0,0.0,369.0,0.0,0.0
B,145703.0,0.0,797.0,0.0,0.0,0.0
W,66423.0,0.0,6303.0,814.0,0.0,0.0
DET,56922.0,1008.0,218.0,0.0,0.0,0.0
D,51978.0,5318.0,440.0,0.0,0.0,0.0
S,38755.0,5318.0,440.0,5.0,0.0,0.0
CONDO,34656.0,0.0,0.0,933.0,101.0,0.0
RES,32347.0,0.0,0.0,0.0,0.0,0.0
MAS,28334.0,2800.0,197.0,2534.0,65.0,0.0
SEMI,26877.0,0.0,0.0,0.0,0.0,0.0
OTH,15139.0,5.0,46.0,435.0,558.0,0.0
FRAME,13493.0,289.0,33.0,40.0,10.0,0.0
OTHER,12218.0,61.0,0.0,173.0,146.0,0.0
STONE,8800.0,597.0,140.0,0.0,0.0,0.0
PARKING,2273.0,0.0,0.0,0.0,0.0,0.0
SPACE,2273.0,0.0,0.0,0.0,0.0,0.0
MASON,2001.0,33315.0,7154.0,1044.0,146.0,0.0
PRIV,1507.0,0.0,0.0,194.0,0.0,0.0
O,1171.0,1716.0,54.0,281.0,28.0,0.0
OTHE,463.0,0.0,0.0,3.0,0.0,0.0
LOFT,385.0,0.0,0.0,0.0,53.0,0.0
STACKED,52.0,0.0,0.0,0.0,0.0,0.0
PUD,52.0,0.0,0.0,0.0,0.0,0.0
STORAGE,36.0,0.0,0.0,0.0,35.0,0.0
UNIT,36.0,0.0,0.0,0.0,0.0,0.0
STO,30.0,3.0,1.0,0.0,0.0,0.0
RESIDENTIAL,9.0,0.0,0.0,0.0,0.0,0.0
RIGHTS,9.0,0.0,0.0,41.0,0.0,0.0
AIR,9.0,0.0,0.0,55.0,0.0,0.0
MISC,5.0,0.0,0.0,1060.0,0.0,0.0
DWELL,5.0,0.0,0.0,0.0,0.0,0.0
FRM,2.0,10.0,0.0,18.0,0.0,0.0
APT,0.0,37262.0,6687.0,0.0,0.0,0.0
CONV,0.0,22500.0,0.0,0.0,0.0,0.0
UNITS,0.0,19489.0,0.0,0.0,0.0,0.0
APTS,0.0,5029.0,0.0,0.0,0.0,0.0
OT,0.0,328.0,0.0,10.0,0.0,0.0
HOTEL,0.0,164.0,0.0,0.0,0.0,0.0
DORMITORY,0.0,154.0,0.0,0.0,0.0,0.0
STON,0.0,154.0,0.0,0.0,0.0,0.0
HOME,0.0,148.0,0.0,206.0,0.0,0.0
BOARDING,0.0,148.0,0.0,0.0,0.0,0.0
HSE,0.0,75.0,0.0,1780.0,0.0,0.0
RM,0.0,75.0,0.0,0.0,0.0,0.0
FRAM,0.0,62.0,0.0,1.0,0.0,0.0
MA,0.0,21.0,0.0,1.0,0.0,0.0
MOTEL,0.0,7.0,0.0,0.0,0.0,0.0
M,0.0,2.0,0.0,136.0,0.0,0.0
OFF,0.0,0.0,14396.0,2257.0,0.0,0.0
STR,0.0,0.0,14376.0,1232.0,0.0,0.0
STORE,0.0,0.0,20.0,2360.0,0.0,0.0
STN,0.0,0.0,4.0,0.0,0.0,0.0
COM,0.0,0.0,0.0,1787.0,0.0,0.0
WORSHIP,0.0,0.0,0.0,1780.0,0.0,0.0
ALL,0.0,0.0,0.0,1780.0,0.0,0.0
AUTO,0.0,0.0,0.0,1606.0,0.0,0.0
SHOP,0.0,0.0,0.0,1577.0,505.0,0.0
REPAIR,0.0,0.0,0.0,1211.0,0.0,0.0
N,0.0,0.0,0.0,940.0,0.0,0.0
AMUSE,0.0,0.0,0.0,919.0,0.0,0.0
BLD,0.0,0.0,0.0,884.0,0.0,0.0
PKG,0.0,0.0,0.0,793.0,0.0,2005.0
SCHOOL,0.0,0.0,0.0,704.0,0.0,0.0
REST,0.0,0.0,0.0,551.0,0.0,0.0
RNT,0.0,0.0,0.0,548.0,0.0,0.0
BAR,0.0,0.0,0.0,504.0,0.0,0.0
CARE,0.0,0.0,0.0,457.0,0.0,0.0
FAC,0.0,0.0,0.0,381.0,4.0,0.0
HEALTH,0.0,0.0,0.0,381.0,0.0,0.0
DAY,0.0,0.0,0.0,378.0,0.0,0.0
CENT,0.0,0.0,0.0,342.0,0.0,0.0
LOT,0.0,0.0,0.0,303.0,0.0,2087.0
NO,0.0,0.0,0.0,292.0,0.0,82.0
PARK,0.0,0.0,0.0,272.0,0.0,0.0
STAT,0.0,0.0,0.0,262.0,0.0,0.0
GAS,0.0,0.0,0.0,262.0,0.0,0.0
COMMERCIAL,0.0,0.0,0.0,226.0,0.0,2005.0
CLUB,0.0,0.0,0.0,210.0,0.0,0.0
PUMP,0.0,0.0,0.0,204.0,0.0,0.0
STRIP,0.0,0.0,0.0,189.0,0.0,0.0
PD,0.0,0.0,0.0,186.0,0.0,1130.0
MART,0.0,0.0,0.0,175.0,0.0,0.0
COMPLEX,0.0,0.0,0.0,174.0,0.0,0.0
FUNERAL,0.0,0.0,0.0,167.0,0.0,0.0
FASTFOOD,0.0,0.0,0.0,166.0,0.0,0.0
REC,0.0,0.0,0.0,156.0,0.0,0.0
CITY,0.0,0.0,0.0,148.0,0.0,0.0
BANK,0.0,0.0,0.0,146.0,0.0,0.0
CAR,0.0,0.0,0.0,145.0,0.0,82.0
COMM,0.0,0.0,0.0,145.0,0.0,0.0
AMUS,0.0,0.0,0.0,140.0,0.0,0.0
AREA,0.0,0.0,0.0,135.0,0.0,0.0
UTIL,0.0,0.0,0.0,129.0,0.0,0.0
PUB,0.0,0.0,0.0,129.0,0.0,0.0
OR,0.0,0.0,0.0,122.0,0.0,0.0
TAVERN,0.0,0.0,0.0,122.0,0.0,0.0
FAIRMOUNT,0.0,0.0,0.0,120.0,0.0,0.0
PLAYGROUND,0.0,0.0,0.0,119.0,0.0,0.0
STA,0.0,0.0,0.0,116.0,0.0,0.0
RETAIL,0.0,0.0,0.0,113.0,0.0,82.0
L,0.0,0.0,0.0,102.0,0.0,0.0
BODY,0.0,0.0,0.0,101.0,0.0,0.0
CLEANING,0.0,0.0,0.0,96.0,0.0,0.0
DRY,0.0,0.0,0.0,95.0,0.0,0.0
DR,0.0,0.0,0.0,95.0,0.0,0.0
CL,0.0,0.0,0.0,95.0,0.0,0.0
RR,0.0,0.0,0.0,92.0,4.0,0.0
CLINIC,0.0,0.0,0.0,88.0,0.0,0.0
HALL,0.0,0.0,0.0,88.0,0.0,0.0
POLICE,0.0,0.0,0.0,86.0,0.0,0.0
